Name,WHORegion,Cases_Cumulative_Total,Cases _Cumulative_Total_per_100000_Population,Cases_Newly_Reported_in_Last_7_Days,Cases _Newly_Reported_in_Last_7_Days_per_100000_Population,Cases_Newly_Reported_in_last_24_hours,Deaths_Cumulative_Total,Deaths_Cumulative_Total_per_100000_Population,Deaths_Newly_Reported_in_Last_7_Days,Deaths_Newly_Reported_in_Last_7_Days_per_100000_Population,Deaths_Newly_Reported_in_Last_24_Hours
United States of America,Americas,43792254,13230.18,706288,213.38,112980,703599,212.57,12318,3.72,1891
India,South-East Asia,33915569,2457.64,148862,10.79,21257,450127,32.62,1788,0.13,271
Brazil,Americas,21516967,10122.8,117421,55.24,17893,599359,281.97,3237,1.52,530
The United Kingdom,Europe,8046394,11852.8,239354,352.58,39730,137417,202.42,755,1.11,122
Russian Federation,Europe,7717356,5288.23,181808,124.58,27246,214485,146.97,6343,4.35,936
Turkey,Europe,7357336,8723.52,203266,241.01,30019,65590,77.77,1536,1.82,217
France,Europe,6825921,10495.06,26967,41.46,4506,114691,176.34,221,0.34,32
Iran (Islamic Republic of),Eastern Mediterranean,5674083,6755.43,87043,103.63,11625,122012,145.26,1584,1.89,233
Argentina,Americas,5263219,11645.38,7958,17.61,1284,115379,255.29,249,0.55,56
Spain,Europe,4971310,10502.93,9562,20.2,775,86701,183.17,115,0.24,6
Colombia,Americas,4965847,9759.36,9999,19.65,1393,126487,248.58,226,0.44,32
Italy,Europe,4692274,7867.47,19919,33.4,2933,131198,219.98,277,0.46,41
Germany,Europe,4293807,5162.89,56188,67.56,10429,94113,113.16,402,0.48,86
Indonesia,South-East Asia,4225871,1544.97,9143,3.34,1384,142560,52.12,534,0.2,66
Mexico,Americas,3699621,2869.42,44226,34.3,7697,280610,217.64,3637,2.82,714
Poland,Europe,2918863,7689.69,10431,27.48,1894,75834,199.78,168,0.44,31
South Africa,Africa,2909757,4906.12,7085,11.95,989,88104,148.55,478,0.81,123
Philippines,Western Pacific,2632881,2402.68,82960,75.71,9964,38937,35.53,643,0.59,109
Ukraine,Europe,2514005,5748.43,78592,179.71,16362,58081,132.81,1635,3.74,241
Malaysia,Western Pacific,2313727,7148.63,68032,210.2,9890,27113,83.77,778,2.4,132
Peru,Americas,2181183,6615.29,5878,17.83,1034,199559,605.24,192,0.58,39
Iraq,Eastern Mediterranean,2018667,5018.75,15364,38.2,2044,22473,55.87,213,0.53,33
Netherlands,Europe,2016171,11582.14,13208,75.87,2760,18200,104.55,30,0.17,6
Japan,Western Pacific,1708742,1351.04,7433,5.88,990,17856,14.12,208,0.16,37
Czechia,Europe,1698061,15878.72,5639,52.73,991,30496,285.17,20,0.19,2
Thailand,South-East Asia,1689437,2420.4,74208,106.32,11140,17534,25.12,684,0.98,116
Chile,Americas,1659386,8680.52,5122,26.79,942,37533,196.34,65,0.34,21
Canada,Americas,1647153,4364.23,27016,71.58,3733,28112,74.48,293,0.78,62
Bangladesh,South-East Asia,1561463,948.13,4705,2.86,645,27654,16.79,123,0.07,7
Romania,Europe,1332221,6892.4,87666,453.55,13854,38927,201.39,1695,8.77,385
Israel,Europe,1301475,15036.32,18300,211.43,2064,7885,91.1,106,1.22,9
Belgium,Europe,1258688,10923.8,10367,89.97,3,25665,222.74,53,0.46,1
Pakistan,Eastern Mediterranean,1255321,568.3,10194,4.61,1453,28032,12.69,303,0.14,46
Sweden,Europe,1157083,11203.81,4236,41.02,844,14904,144.31,12,0.12,2
Portugal,Europe,1073268,10424.22,3989,38.74,731,18019,175.01,44,0.43,11
Serbia,Europe,988307,14268.07,46318,668.69,6978,8582,123.9,348,5.02,51
Kazakhstan,Europe,977027,5203.4,14185,75.55,2083,16346,87.05,291,1.55,43
Morocco,Eastern Mediterranean,936963,2538.47,3892,10.54,0,14390,38.99,123,0.33,0
Cuba,Americas,907941,8016,30513,269.39,3833,7742,68.35,306,2.7,39
Switzerland,Europe,843886,9750.7,5285,61.07,1,10681,123.41,17,0.2,0
Jordan,Eastern Mediterranean,829888,8133.66,5969,58.5,0,10774,105.6,56,0.55,0
Hungary,Europe,827410,8469.3,4026,41.21,774,30275,309.89,76,0.78,16
Viet Nam,Western Pacific,826837,849.44,36082,37.07,4150,20223,20.78,922,0.95,125
Nepal,South-East Asia,800997,2749.09,5038,17.29,715,11210,38.47,62,0.21,10
Austria,Europe,752164,8450.27,12767,143.43,2040,10827,121.64,59,0.66,8
United Arab Emirates,Eastern Mediterranean,737373,7455.44,1381,13.96,144,2109,21.32,12,0.12,2
Tunisia,Eastern Mediterranean,709001,5999.02,1811,15.32,0,24971,211.29,81,0.69,0
Greece,Europe,671040,6260.54,15273,142.49,2229,15042,140.34,214,2,30
Georgia,Europe,628719,15760.63,13956,349.85,2661,9192,230.42,216,5.41,30
Lebanon,Eastern Mediterranean,628241,9204.4,4011,58.77,519,8375,122.7,50,0.73,5
Guatemala,Americas,574713,3207.9,14398,80.37,2610,13902,77.6,338,1.89,51
Belarus,Europe,551800,5839.57,13714,145.13,1983,4243,44.9,100,1.06,15
Saudi Arabia,Eastern Mediterranean,547449,1572.5,315,0.9,47,8736,25.09,20,0.06,4
Costa Rica,Americas,541036,10620.8,10923,214.42,1614,6553,128.64,204,4,31
Sri Lanka,South-East Asia,523550,2444.98,4775,22.3,0,13229,61.78,265,1.24,0
Bulgaria,Europe,516510,7430.21,14348,206.4,2302,21505,309.36,623,8.96,94
Ecuador,Americas,511317,2898.12,1704,9.66,0,32819,186.02,52,0.29,0
Bolivia (Plurinational State of),Americas,502550,4305.23,2460,21.07,503,18775,160.84,49,0.42,5
Azerbaijan,Europe,489226,4825.11,5324,52.51,1013,6625,65.34,100,0.99,14
Myanmar,South-East Asia,475885,874.63,9963,18.31,1466,18068,33.21,279,0.51,34
Panama,Americas,468325,10854,1474,34.16,211,7255,168.14,32,0.74,5
Paraguay,Americas,460113,6450.9,165,2.31,29,16205,227.2,10,0.14,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,441882,8661.95,7810,153.09,946,4465,87.52,99,1.94,9
Slovakia,Europe,422614,7743.2,8891,162.9,1690,12720,233.06,71,1.3,15
Croatia,Europe,415356,10235.07,10566,260.36,1691,8752,215.66,112,2.76,22
Kuwait,Eastern Mediterranean,411935,9645.9,280,6.56,0,2452,57.42,3,0.07,0
Ireland,Europe,397831,8013.61,7899,159.11,1206,5280,106.36,31,0.62,0
Uruguay,Americas,389505,11212.87,683,19.66,142,6062,174.51,8,0.23,3
Venezuela (Bolivarian Republic of),Americas,377833,1328.72,10161,35.73,1522,4558,16.03,104,0.37,19
Honduras,Americas,369030,3725.84,3036,30.65,376,9949,100.45,172,1.74,36
Dominican Republic,Americas,363735,3353.04,5280,48.67,886,4063,37.45,17,0.16,7
Denmark,Europe,362068,6218.15,3272,56.19,607,2668,45.82,12,0.21,3
Ethiopia,Africa,352504,306.62,6830,5.94,1166,5888,5.12,306,0.27,45
